house,total_area,built_area,bedrooms,bathrooms,zone_east,zone_north,zone_northeast,zone_rural east,zone_rural west,zone_south,zone_southeast,zone_west
1,172.0,120.0,7,3,0,0,0,0,0,0,1,0
1,190.0,89.0,3,3,0,0,0,0,1,0,0,0
0,37.0,37.0,1,1,0,0,0,0,0,0,0,1
0,64.0,64.0,3,2,1,0,0,0,0,0,0,0
1,198.0,94.0,2,1,0,0,0,0,0,0,1,0
0,45.0,45.0,2,1,0,0,0,0,0,0,0,0
1,50.0,40.0,2,1,0,0,0,0,0,1,0,0
1,10000.0,165.0,4,2,0,0,0,0,1,0,0,0
1,210.0,79.0,3,2,0,0,0,0,1,0,0,0
1,125.0,80.0,3,2,0,0,0,0,0,0,0,1
0,64.0,64.0,1,1,0,0,1,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,0,0,0
1,280.0,57.0,2,2,0,0,0,0,0,0,1,0
1,881.0,169.0,5,4,0,0,0,1,0,0,0,0
0,64.0,64.0,3,2,0,0,0,0,0,0,0,1
1,5000.0,290.0,4,3,0,0,0,1,0,0,0,0
1,900.0,192.0,5,2,0,0,0,0,0,1,0,0
0,63.0,63.0,3,1,0,0,0,0,0,0,0,1
0,64.0,64.0,1,1,0,0,0,0,0,0,1,0
1,200.0,140.0,3,3,1,0,0,0,0,0,0,0
1,175.0,87.0,3,1,1,0,0,0,0,0,0,0
1,122.0,80.0,4,2,0,0,0,0,0,0,0,1
1,1875.0,80.0,4,1,0,0,0,0,0,0,0,0
1,279.0,140.0,5,4,0,0,0,0,0,0,1,0
0,48.0,48.0,2,1,0,0,0,0,0,1,0,0
0,32.0,32.0,1,1,1,0,0,0,0,0,0,0
0,64.0,64.0,2,1,0,0,0,0,0,1,0,0
0,76.0,76.0,3,2,0,0,0,0,0,0,1,0
0,186.0,186.0,5,4,0,0,1,0,0,0,0,0
0,47.0,47.0,2,2,0,0,0,0,0,1,0,0
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
1,115.0,54.0,3,1,0,0,0,0,0,0,1,0
0,95.72,95.72,3,2,1,0,0,0,0,0,0,0
1,3000.0,280.0,4,3,0,0,0,1,0,0,0,0
1,260.0,160.0,5,3,0,0,1,0,0,0,0,0
1,124.0,130.0,6,1,0,0,0,0,0,0,0,0
0,64.0,64.0,3,3,0,0,1,0,0,0,0,0
0,42.0,42.0,2,2,0,1,0,0,0,0,0,0
0,64.0,64.0,3,2,0,0,0,0,0,0,0,0
1,550.0,140.0,3,2,1,0,0,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,0,0,0
1,250.0,110.0,3,3,0,0,1,0,0,0,0,0
1,611.0,225.0,9,4,1,0,0,0,0,0,0,0
0,95.4,95.4,3,3,0,0,0,1,0,0,0,0
1,118.0,60.0,5,1,1,0,0,0,0,0,0,0
0,94.0,94.0,2,1,0,0,0,0,0,0,0,1
1,156.0,110.0,4,3,0,0,0,0,0,0,1,0
1,128.0,110.0,4,3,0,0,0,0,0,0,0,1
0,64.0,64.0,2,1,0,0,0,0,0,0,1,0
1,129.0,97.0,4,3,0,0,0,0,0,0,1,0
0,64.0,64.0,2,2,0,0,0,0,0,0,0,0
1,454.0,140.0,5,4,0,0,0,1,0,0,0,0
1,498.0,160.0,6,4,0,0,0,1,0,0,0,0
0,165.0,165.0,4,3,0,0,1,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,0,1,0
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
1,210.0,110.0,3,2,0,0,0,0,1,0,0,0
0,66.0,66.0,2,2,0,0,0,0,0,0,1,0
1,2000.0,250.0,4,4,0,1,0,0,0,0,0,0
1,160.0,95.0,3,3,0,0,0,0,1,0,0,0
1,346.0,96.0,3,1,0,0,0,0,0,1,0,0
1,5000.0,202.0,4,4,0,0,0,0,1,0,0,0
1,880.0,220.0,5,4,1,0,0,0,0,0,0,0
0,54.0,54.0,3,1,0,1,0,0,0,0,0,0
1,180.0,189.0,3,2,0,1,0,0,0,0,0,0
1,200.0,120.0,4,3,0,0,0,0,0,0,1,0
1,305.0,116.0,4,3,0,0,0,0,0,0,1,0
1,242.0,242.0,2,2,0,0,0,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,0,0,0
0,49.0,49.0,2,1,1,0,0,0,0,0,0,0
0,30.0,30.0,1,1,0,0,0,0,0,0,0,0
0,64.0,64.0,3,2,0,0,0,0,0,0,1,0
0,43.0,43.0,2,1,0,0,1,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,0,0,0
1,100.0,80.0,3,1,0,0,0,0,0,0,1,0
1,165.0,135.0,5,3,0,0,1,0,0,0,0,0
0,56.0,56.0,2,2,1,0,0,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,1,0,0
0,64.0,64.0,2,1,0,0,1,0,0,0,0,0
1,140.0,68.0,4,2,0,0,0,0,0,0,0,0
1,144.0,80.0,4,1,1,0,0,0,0,0,0,0
1,122.0,66.0,3,2,0,1,0,0,0,0,0,0
0,64.0,64.0,1,1,1,0,0,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,0,0,0
0,72.0,72.0,2,2,0,0,0,0,0,0,0,0
0,42.0,42.0,2,2,0,0,0,0,0,0,0,0
0,125.22,125.22,2,3,0,0,1,0,0,0,0,0
0,64.0,64.0,1,1,0,0,1,0,0,0,0,0
0,84.0,84.0,2,2,0,0,1,0,0,0,0,0
0,64.0,64.0,3,1,0,0,0,0,0,1,0,0
0,104.0,104.0,2,2,0,1,0,0,0,0,0,0
0,64.0,64.0,2,2,0,0,0,0,0,0,1,0
1,2256.0,83.0,5,1,0,0,0,0,1,0,0,0
0,55.0,55.0,2,1,0,0,0,0,0,0,1,0
0,135.0,135.0,2,3,0,0,1,0,0,0,0,0
0,73.0,73.0,3,2,0,0,0,0,0,0,0,0
0,44.0,44.0,2,1,0,0,0,0,0,1,0,0
0,29.0,29.0,1,1,0,0,0,0,0,0,0,0
1,240.0,140.0,4,1,0,1,0,0,0,0,0,0
