level,topic,title,dialogue_line
easy,dailylife0,I Live in Pasadena,Where do you live?
easy,dailylife0,I Live in Pasadena,I live in Pasadena.
easy,dailylife0,I Live in Pasadena,Where is Pasadena?
easy,dailylife0,I Live in Pasadena,It's in California.
easy,dailylife0,I Live in Pasadena,Is it in northern California?
easy,dailylife0,I Live in Pasadena,No. It's in southern California.
easy,dailylife0,I Live in Pasadena,Is Pasadena a big city?
easy,dailylife0,I Live in Pasadena,It's pretty big.
easy,dailylife0,I Live in Pasadena,"How big is ""pretty big""?"
easy,dailylife0,I Live in Pasadena,"It has about 140,000 people."
easy,dailylife0,I Live in Pasadena,How big is Los Angeles?
easy,dailylife0,I Live in Pasadena,It has about 3 million people.
easy,dailylife0,I Have a Honda,Do you have a car?
easy,dailylife0,I Have a Honda,"Yes, I do."
easy,dailylife0,I Have a Honda,What kind of car do you have?
easy,dailylife0,I Have a Honda,I have a Honda.
easy,dailylife0,I Have a Honda,Is it new?
easy,dailylife0,I Have a Honda,It was new in 2003.
easy,dailylife0,I Have a Honda,"So, it's pretty old now."
easy,dailylife0,I Have a Honda,"Yes, it is. But it still looks good."
easy,dailylife0,I Have a Honda,Do you take good care of it?
easy,dailylife0,I Have a Honda,"Oh, yes. I wash it once a week."
easy,dailylife0,I Have a Honda,Do you change the oil?
easy,dailylife0,I Have a Honda,My mechanic changes the oil twice a year.
easy,dailylife0,Do You Have a Girlfriend?,Do you have a girlfriend?
easy,dailylife0,Do You Have a Girlfriend?,"No, I don't. Do you?"
easy,dailylife0,Do You Have a Girlfriend?,"I don't have a girlfriend, either."
easy,dailylife0,Do You Have a Girlfriend?,Why not?
easy,dailylife0,Do You Have a Girlfriend?,I don't know. Maybe I'm not rich enough.
easy,dailylife0,Do You Have a Girlfriend?,Girls like guys with money.
easy,dailylife0,Do You Have a Girlfriend?,They sure do.
easy,dailylife0,Do You Have a Girlfriend?,They like guys with new cars.
easy,dailylife0,Do You Have a Girlfriend?,I don't have money or a new car.
easy,dailylife0,Do You Have a Girlfriend?,"Me, neither."
easy,dailylife0,Do You Have a Girlfriend?,But girls like guys who are funny.
easy,dailylife0,Do You Have a Girlfriend?,Maybe we should learn some good jokes.
easy,dailylife0,Walking the Dog,Where are you going?
easy,dailylife0,Walking the Dog,I have to walk the dog.
easy,dailylife0,Walking the Dog,What kind of dog do you have?
easy,dailylife0,Walking the Dog,I have a little poodle.
easy,dailylife0,Walking the Dog,Poodles bark a lot.
easy,dailylife0,Walking the Dog,They sure do.
easy,dailylife0,Walking the Dog,They bark at everything.
easy,dailylife0,Walking the Dog,They never shut up.
easy,dailylife0,Walking the Dog,Why did you get a poodle?
easy,dailylife0,Walking the Dog,It's my mom's dog.
easy,dailylife0,Walking the Dog,So she likes poodles.
easy,dailylife0,Walking the Dog,She says they're good watchdogs.
easy,dailylife0,Borrowing Money,Can I borrow $5?
easy,dailylife0,Borrowing Money,Sure. Why do you need it?
easy,dailylife0,Borrowing Money,I want to buy lunch.
easy,dailylife0,Borrowing Money,Where's your money?
easy,dailylife0,Borrowing Money,It's not in my wallet.
easy,dailylife0,Borrowing Money,Your wallet is empty?
easy,dailylife0,Borrowing Money,I don't have even one dollar in it.
easy,dailylife0,Borrowing Money,Being broke is no fun.
easy,dailylife0,Borrowing Money,Even if it's only for a short while.
easy,dailylife0,Borrowing Money,It's always good to have friends.
easy,dailylife0,Borrowing Money,Friends will lend you money when you're broke.
easy,dailylife0,Borrowing Money,As long as you pay them back.
easy,dailylife0,Going to the Beach,Let's go to the beach.
easy,dailylife0,Going to the Beach,That's a great idea.
easy,dailylife0,Going to the Beach,We haven't been in a while.
easy,dailylife0,Going to the Beach,We haven't been in a month.
easy,dailylife0,Going to the Beach,"The last time we went, you almost drowned."
easy,dailylife0,Going to the Beach,"No, I didn't."
easy,dailylife0,Going to the Beach,Then why did the lifeguard dive into the water?
easy,dailylife0,Going to the Beach,I think he wanted to cool off.
easy,dailylife0,Going to the Beach,He swam right up to you.
easy,dailylife0,Going to the Beach,And then he turned right around.
easy,dailylife0,Going to the Beach,Maybe you're right.
easy,dailylife0,Going to the Beach,Maybe we should get going.
easy,dailylife0,My Wife Left Me,Are you married?
easy,dailylife0,My Wife Left Me,No. I'm divorced.
easy,dailylife0,My Wife Left Me,When did you get divorced?
easy,dailylife0,My Wife Left Me,I got divorced two years ago.
easy,dailylife0,My Wife Left Me,Why did you get divorced?
easy,dailylife0,My Wife Left Me,My wife left me.
easy,dailylife0,My Wife Left Me,Why did she leave you?
easy,dailylife0,My Wife Left Me,She said she didn't love me anymore.
easy,dailylife0,My Wife Left Me,Wow! That's terrible.
easy,dailylife0,My Wife Left Me,"Yes, it was."
easy,dailylife0,My Wife Left Me,Why didn't she love you anymore?
easy,dailylife0,My Wife Left Me,She fell in love with my best friend.
easy,dailylife0,What's on TV?,I'm bored.
easy,dailylife0,What's on TV?,What's on TV?
easy,dailylife0,What's on TV?,Nothing.
easy,dailylife0,What's on TV?,There must be something on TV!
easy,dailylife0,What's on TV?,Nothing that's interesting.
easy,dailylife0,What's on TV?,What about that new game show?
easy,dailylife0,What's on TV?,Which one?
easy,dailylife0,What's on TV?,"""Deal or No Deal"""
easy,dailylife0,What's on TV?,Tell me you're joking.
easy,dailylife0,What's on TV?,I love that show.
easy,dailylife0,What's on TV?,I watched it once. That was enough.
easy,dailylife0,What's on TV?,It's on right now. Let's watch it together.
easy,dailylife0,A Nice Place to Live,I like living here.
easy,dailylife0,A Nice Place to Live,I agree. Pasadena is a nice city.
easy,dailylife0,A Nice Place to Live,It's not too big.
easy,dailylife0,A Nice Place to Live,And it's not too small.
easy,dailylife0,A Nice Place to Live,It has great weather all year long.
easy,dailylife0,A Nice Place to Live,It has the Rose Parade.
easy,dailylife0,A Nice Place to Live,It has beautiful houses.
easy,dailylife0,A Nice Place to Live,It has wonderful restaurants.
