topic,title,dialogue_line
dailylife0,I Live in Pasadena,Where do you live?
dailylife0,I Live in Pasadena,I live in Pasadena.
dailylife0,I Live in Pasadena,Where is Pasadena?
dailylife0,I Live in Pasadena,It's in California.
dailylife0,I Live in Pasadena,Is it in northern California?
dailylife0,I Live in Pasadena,No. It's in southern California.
dailylife0,I Live in Pasadena,Is Pasadena a big city?
dailylife0,I Live in Pasadena,It's pretty big.
dailylife0,I Live in Pasadena,"How big is ""pretty big""?"
dailylife0,I Live in Pasadena,"It has about 140,000 people."
dailylife0,I Live in Pasadena,How big is Los Angeles?
dailylife0,I Live in Pasadena,It has about 3 million people.
dailylife0,I Have a Honda,Do you have a car?
dailylife0,I Have a Honda,"Yes, I do."
dailylife0,I Have a Honda,What kind of car do you have?
dailylife0,I Have a Honda,I have a Honda.
dailylife0,I Have a Honda,Is it new?
dailylife0,I Have a Honda,It was new in 2003.
dailylife0,I Have a Honda,"So, it's pretty old now."
dailylife0,I Have a Honda,"Yes, it is. But it still looks good."
dailylife0,I Have a Honda,Do you take good care of it?
dailylife0,I Have a Honda,"Oh, yes. I wash it once a week."
dailylife0,I Have a Honda,Do you change the oil?
dailylife0,I Have a Honda,My mechanic changes the oil twice a year.
dailylife0,Do You Have a Girlfriend?,Do you have a girlfriend?
dailylife0,Do You Have a Girlfriend?,"No, I don't. Do you?"
dailylife0,Do You Have a Girlfriend?,"I don't have a girlfriend, either."
dailylife0,Do You Have a Girlfriend?,Why not?
dailylife0,Do You Have a Girlfriend?,I don't know. Maybe I'm not rich enough.
dailylife0,Do You Have a Girlfriend?,Girls like guys with money.
dailylife0,Do You Have a Girlfriend?,They sure do.
dailylife0,Do You Have a Girlfriend?,They like guys with new cars.
dailylife0,Do You Have a Girlfriend?,I don't have money or a new car.
dailylife0,Do You Have a Girlfriend?,"Me, neither."
dailylife0,Do You Have a Girlfriend?,But girls like guys who are funny.
dailylife0,Do You Have a Girlfriend?,Maybe we should learn some good jokes.
dailylife0,Walking the Dog,Where are you going?
dailylife0,Walking the Dog,I have to walk the dog.
dailylife0,Walking the Dog,What kind of dog do you have?
dailylife0,Walking the Dog,I have a little poodle.
dailylife0,Walking the Dog,Poodles bark a lot.
dailylife0,Walking the Dog,They sure do.
dailylife0,Walking the Dog,They bark at everything.
dailylife0,Walking the Dog,They never shut up.
dailylife0,Walking the Dog,Why did you get a poodle?
dailylife0,Walking the Dog,It's my mom's dog.
dailylife0,Walking the Dog,So she likes poodles.
dailylife0,Walking the Dog,She says they're good watchdogs.
dailylife0,Borrowing Money,Can I borrow $5?
dailylife0,Borrowing Money,Sure. Why do you need it?
dailylife0,Borrowing Money,I want to buy lunch.
dailylife0,Borrowing Money,Where's your money?
dailylife0,Borrowing Money,It's not in my wallet.
dailylife0,Borrowing Money,Your wallet is empty?
dailylife0,Borrowing Money,I don't have even one dollar in it.
dailylife0,Borrowing Money,Being broke is no fun.
dailylife0,Borrowing Money,Even if it's only for a short while.
dailylife0,Borrowing Money,It's always good to have friends.
dailylife0,Borrowing Money,Friends will lend you money when you're broke.
dailylife0,Borrowing Money,As long as you pay them back.
dailylife0,Going to the Beach,Let's go to the beach.
dailylife0,Going to the Beach,That's a great idea.
dailylife0,Going to the Beach,We haven't been in a while.
dailylife0,Going to the Beach,We haven't been in a month.
dailylife0,Going to the Beach,"The last time we went, you almost drowned."
dailylife0,Going to the Beach,"No, I didn't."
dailylife0,Going to the Beach,Then why did the lifeguard dive into the water?
dailylife0,Going to the Beach,I think he wanted to cool off.
dailylife0,Going to the Beach,He swam right up to you.
dailylife0,Going to the Beach,And then he turned right around.
dailylife0,Going to the Beach,Maybe you're right.
dailylife0,Going to the Beach,Maybe we should get going.
dailylife0,My Wife Left Me,Are you married?
dailylife0,My Wife Left Me,No. I'm divorced.
dailylife0,My Wife Left Me,When did you get divorced?
dailylife0,My Wife Left Me,I got divorced two years ago.
dailylife0,My Wife Left Me,Why did you get divorced?
dailylife0,My Wife Left Me,My wife left me.
dailylife0,My Wife Left Me,Why did she leave you?
dailylife0,My Wife Left Me,She said she didn't love me anymore.
dailylife0,My Wife Left Me,Wow! That's terrible.
dailylife0,My Wife Left Me,"Yes, it was."
dailylife0,My Wife Left Me,Why didn't she love you anymore?
dailylife0,My Wife Left Me,She fell in love with my best friend.
dailylife0,What's on TV?,I'm bored.
dailylife0,What's on TV?,What's on TV?
dailylife0,What's on TV?,Nothing.
dailylife0,What's on TV?,There must be something on TV!
dailylife0,What's on TV?,Nothing that's interesting.
dailylife0,What's on TV?,What about that new game show?
dailylife0,What's on TV?,Which one?
dailylife0,What's on TV?,"""Deal or No Deal"""
dailylife0,What's on TV?,Tell me you're joking.
dailylife0,What's on TV?,I love that show.
dailylife0,What's on TV?,I watched it once. That was enough.
dailylife0,What's on TV?,It's on right now. Let's watch it together.
dailylife0,A Nice Place to Live,I like living here.
dailylife0,A Nice Place to Live,I agree. Pasadena is a nice city.
dailylife0,A Nice Place to Live,It's not too big.
dailylife0,A Nice Place to Live,And it's not too small.
dailylife0,A Nice Place to Live,It has great weather all year long.
dailylife0,A Nice Place to Live,It has the Rose Parade.
dailylife0,A Nice Place to Live,It has beautiful houses.
dailylife0,A Nice Place to Live,It has wonderful restaurants.
dailylife0,A Nice Place to Live,It has great schools.
dailylife0,A Nice Place to Live,It's close to the mountains.
dailylife0,A Nice Place to Live,The people are friendly.
dailylife0,A Nice Place to Live,I'm not ever going to leave.
dailylife0,The New Mattress,We need a new mattress.
dailylife0,The New Mattress,What's the matter with this one?
dailylife0,The New Mattress,It's not comfortable.
dailylife0,The New Mattress,It seems fine to me.
dailylife0,The New Mattress,I toss and turn all night.
dailylife0,The New Mattress,You should stop drinking coffee.
dailylife0,The New Mattress,Look at these marks on my arms.
dailylife0,The New Mattress,What are they?
dailylife0,The New Mattress,They are bites.
dailylife0,The New Mattress,Did the cat bite you?
dailylife0,The New Mattress,No. The bedbugs in that mattress bit me.
dailylife0,The New Mattress,Okay. Let's get a new mattress.
dailylife0,My Laptop Is So Slow,My laptop is so slow.
dailylife0,My Laptop Is So Slow,Buy a new one.
dailylife0,My Laptop Is So Slow,I would if I had the money.
dailylife0,My Laptop Is So Slow,Why is it so slow?
dailylife0,My Laptop Is So Slow,That's a good question.
dailylife0,My Laptop Is So Slow,Did you take it to a computer shop?
dailylife0,My Laptop Is So Slow,I would if I had the money.
dailylife0,My Laptop Is So Slow,"Well, I guess you have to live with it."
dailylife0,My Laptop Is So Slow,Sometimes I want to throw it out the window.
dailylife0,My Laptop Is So Slow,You don't want to do that.
dailylife0,My Laptop Is So Slow,Why not?
dailylife0,My Laptop Is So Slow,You might hit someone in the head.
dailylife0,How about a Pizza?,What's for dinner?
dailylife0,How about a Pizza?,I'm not sure.
dailylife0,How about a Pizza?,How about a pizza?
dailylife0,How about a Pizza?,You had pizza for lunch.
dailylife0,How about a Pizza?,But I love pizza.
dailylife0,How about a Pizza?,Everybody loves pizza.
dailylife0,How about a Pizza?,So why can't I have pizza for dinner?
dailylife0,How about a Pizza?,Because you need variety.
dailylife0,How about a Pizza?,"What's ""variety?"
dailylife0,How about a Pizza?,Different thingsnot the same thing all the time.
dailylife0,How about a Pizza?,"You mean, like a pepperoni pizza instead of a cheese pizza?"
dailylife0,How about a Pizza?,"No, I mean a salad instead of a pizza."
dailylife0,The New House,We need to save money.
dailylife0,The New House,Why do we need to save money?
dailylife0,The New House,Because we need to buy a house.
dailylife0,The New House,But a house is so expensive.
dailylife0,The New House,That's why we need to save money.
dailylife0,The New House,How much do we need to save?
dailylife0,The New House,We need to save enough for a down payment.
dailylife0,The New House,How much is that?
dailylife0,The New House,"That's about $30,000."
dailylife0,The New House,Thirty thousand dollars! That will take forever.
dailylife0,The New House,Not if we save every penny.
dailylife0,The New House,Okay. Here's seven pennies.
dailylife0,Fish Are Everywhere,The ocean is so big.
dailylife0,Fish Are Everywhere,You can't see the end of it.
dailylife0,Fish Are Everywhere,It goes on and on forever.
dailylife0,Fish Are Everywhere,"And it's deep, too."
dailylife0,Fish Are Everywhere,I think it's five miles deep.
dailylife0,Fish Are Everywhere,Are there fish at the bottom?
dailylife0,Fish Are Everywhere,There are fish at the top and the bottom.
dailylife0,Fish Are Everywhere,Are there more fish or more people?
dailylife0,Fish Are Everywhere,I think there are more fish.
dailylife0,Fish Are Everywhere,I hope so. I love to eat fish.
dailylife0,A Bad Boyfriend,I'm upset with my mom.
dailylife0,A Bad Boyfriend,Why is that?
dailylife0,A Bad Boyfriend,I warned her about her new boyfriend. She didn't listen to me.
dailylife0,A Bad Boyfriend,What happened?
dailylife0,A Bad Boyfriend,"I gave her $1,000 for her birthday. I told her to spend it on herself."
dailylife0,A Bad Boyfriend,That was very nice of you.
dailylife0,A Bad Boyfriend,I found out that she gave it to her new boyfriend.
dailylife0,A Bad Boyfriend,Why did she do that?
dailylife0,A Bad Boyfriend,He said he would buy her a nice ring.
dailylife0,A Bad Boyfriend,What's wrong with that?
dailylife0,A Bad Boyfriend,He went to Las Vegas. He lost it all gambling.
dailylife0,A Bad Boyfriend,I hope your mom broke up with him.
dailylife0,Talking Animals,Do animals talk to each other?
dailylife0,Talking Animals,Of course they talk to each other.
dailylife0,Talking Animals,What do they talk about?
dailylife0,Talking Animals,They talk about other animals.
dailylife0,Talking Animals,What else do they talk about?
dailylife0,Talking Animals,They talk about food and the weather.
dailylife0,Talking Animals,Do they talk about us?
dailylife0,Talking Animals,Of course they talk about us.
dailylife0,Talking Animals,What do they say about us?
dailylife0,Talking Animals,They say that we are funny-looking.
dailylife0,Talking Animals,Ha! We're not funny-looking; animals are funny-looking.
dailylife0,Talking Animals,We're funny-looking because we wear clothes.
dailylife0,House-cleaning Day,I have to clean the house.
dailylife0,House-cleaning Day,"Yes, it's very dirty."
dailylife0,House-cleaning Day,You can help me.
dailylife0,House-cleaning Day,Why me?
dailylife0,House-cleaning Day,Because you helped make it dirty.
dailylife0,House-cleaning Day,What do you want me to do?
dailylife0,House-cleaning Day,I want you to clean the bathroom.
dailylife0,House-cleaning Day,"Oh, that's easy."
dailylife0,House-cleaning Day,"Clean the sink, the tub, the counter, and the toilet."
dailylife0,House-cleaning Day,That's a lot of work.
dailylife0,House-cleaning Day,Tell me when you finish.
dailylife0,House-cleaning Day,I don't think so. You'll just give me more work.
dailylife0,A TV Lover,You're watching too much TV.
dailylife0,A TV Lover,What do you mean?
dailylife0,A TV Lover,I mean you're wasting your life.
dailylife0,A TV Lover,I'm having fun.
dailylife0,A TV Lover,You're sitting there with your mouth open.
dailylife0,A TV Lover,Who cares?
dailylife0,A TV Lover,I care. Do something.
dailylife0,A TV Lover,Okay. I did something.
dailylife0,A TV Lover,What did you do?
dailylife0,A TV Lover,I turned up the volume.
dailylife0,A TV Lover,"That's not what I meant by ""do something."""
dailylife0,A TV Lover,Will you do something? Leave me alone.
dailylife0,Write to Your Grandma,Did you write a letter to grandma?
dailylife0,Write to Your Grandma,"Yes, I did."
dailylife0,Write to Your Grandma,Did you tell her about school?
dailylife0,Write to Your Grandma,I told her that school is fun.
dailylife0,Write to Your Grandma,Did you put the letter in an envelope?
dailylife0,Write to Your Grandma,"Yes, and I sealed the envelope."
dailylife0,Write to Your Grandma,Did you put a stamp on the envelope?
dailylife0,Write to Your Grandma,I couldn't find any stamps.
dailylife0,Write to Your Grandma,They're in the kitchen drawer.
dailylife0,Write to Your Grandma,Okay. I just put a stamp on the envelope.
dailylife0,Write to Your Grandma,"Give me the envelope, and I'll mail it for you."
dailylife0,Write to Your Grandma,When is grandma going to learn about e-mail?
dailylife0,Are You Sleepy?,Why are you yawning?
dailylife0,Are You Sleepy?,I'm sleepy.
dailylife0,Are You Sleepy?,Why don't you go to bed?
dailylife0,Are You Sleepy?,I want to watch this TV show.
dailylife0,Are You Sleepy?,Maybe you should record it.
dailylife0,Are You Sleepy?,The tape recorder is broken.
dailylife0,Are You Sleepy?,Then you should watch the rerun.
dailylife0,Are You Sleepy?,Why? I'm watching the original.
dailylife0,Are You Sleepy?,But you'll be asleep in about one minute.
dailylife0,Are You Sleepy?,I'm just yawning because the commercials are on.
dailylife0,Are You Sleepy?,Okay. I'll tell you how the show ends.
dailylife0,Are You Sleepy?,Zzz.
dailylife0,God Is Watching,It's Sunday.
dailylife0,God Is Watching,So?
dailylife0,God Is Watching,You know what that means.
dailylife0,God Is Watching,I forgot.
dailylife0,God Is Watching,Sunday means we go to church.
dailylife0,God Is Watching,"Oh, yeah."
dailylife0,God Is Watching,Put on a coat and tie.
dailylife0,God Is Watching,Why?
dailylife0,God Is Watching,To show respect to God and others.
dailylife0,God Is Watching,I'm glad Sunday is only once a week.
dailylife0,God Is Watching,I hope God didn't hear that.
dailylife0,God Is Watching,He'll forgive me.
